method,structure,disease,n_patients,mean_max_vol_ml,std_max_vol_ml,mean_min_vol_ml,std_min_vol_ml
adapter_280px,lv,DCM,10,280.6550320378864,63.08231056455851,229.12676740421165,63.70806711268911
adapter_280px,lv,HCM,10,138.6357481127598,34.348493676642285,65.00867511486855,21.52614996405379
adapter_280px,lv,MINF,10,201.83304347368292,52.65310966360812,148.76368261927038,47.09368125025747
adapter_280px,lv,NOR,10,130.0083130553809,33.450490774693,68.80481807289273,18.184102066642374
adapter_280px,lv,RV,10,137.13472688351584,31.20118278710629,74.23442337855843,19.85209532086244
adapter_280px,myo,DCM,10,152.3222842966879,26.545129318109982,136.24106611670126,25.693949822711833
adapter_280px,myo,HCM,10,181.0301453187741,61.43147477591927,146.01555335958489,59.78026463619375
adapter_280px,myo,MINF,10,148.66513080772194,36.59305791731058,129.75159811983073,34.2753294931726
adapter_280px,myo,NOR,10,92.80337985961036,25.34474939509144,71.9640903064802,20.30989225772564
adapter_280px,myo,RV,10,93.77599251159731,23.65211600803874,76.56701806253855,18.801641501447286
adapter_280px,rv,DCM,10,177.1555492498509,63.50050171720484,127.91873043270944,62.27918775918432
adapter_280px,rv,HCM,10,125.52965437279322,31.51628499219846,58.82066845599739,17.227118348243273
adapter_280px,rv,MINF,10,133.93700889213454,42.216295443385114,82.81632333765882,36.24375190345438
adapter_280px,rv,NOR,10,132.9772415862614,35.92431246514652,86.85842611520604,26.45488946080301
adapter_280px,rv,RV,10,246.02464887441988,62.14488161772075,162.07286950298516,40.91607265451367
baseline,lv,DCM,10,298.6322221512968,78.94393054838822,240.79380651637456,73.16146898570524
baseline,lv,HCM,10,156.794911014503,40.692221696937224,58.82149171084327,19.742834727633817
baseline,lv,MINF,10,231.73220227263982,49.02858703372003,160.49044922890394,47.44130998994643
baseline,lv,NOR,10,167.80934588231818,83.98406378986445,85.22187641961385,48.747169699285074
baseline,lv,RV,10,177.20742000225397,74.16717135094368,99.21651225863548,49.93322342615767
baseline,myo,DCM,10,183.36514498123677,34.80155367803116,157.60666461889105,25.984694273197913
baseline,myo,HCM,10,219.004400013751,79.82662595962158,171.8077377281726,67.81813531966837
baseline,myo,MINF,10,184.66446339099306,41.769873969046365,155.29495372120442,35.13076551540439
baseline,myo,NOR,10,125.69037820912368,33.226035570910916,94.67607975606302,27.499761474889866
baseline,myo,RV,10,121.77405096747918,30.876574606480222,92.72691781997787,26.295193852978745
baseline,rv,DCM,10,374.3788553203732,144.15606327676758,293.59027167289804,121.17278530949056
baseline,rv,HCM,10,213.98027605445196,57.50746414080456,81.9634519857785,24.632373580647556
baseline,rv,MINF,10,265.32804402110054,65.73502000083118,170.84634007704705,52.592885733053066
baseline,rv,NOR,10,216.47564470111973,85.19616231179009,116.7798890425149,46.685354956200484
baseline,rv,RV,10,281.0377505948214,74.0933920285486,168.20210688105675,41.7966470253996
